,date_utc,daily_count
638,2013-01-25 00:00:00+00:00,3
639,2013-01-26 00:00:00+00:00,0
640,2013-01-27 00:00:00+00:00,0
641,2013-01-28 00:00:00+00:00,1
642,2013-01-29 00:00:00+00:00,1
643,2013-01-30 00:00:00+00:00,2
644,2013-01-31 00:00:00+00:00,3
645,2013-02-01 00:00:00+00:00,1
646,2013-02-02 00:00:00+00:00,0
647,2013-02-03 00:00:00+00:00,0
648,2013-02-04 00:00:00+00:00,4
649,2013-02-05 00:00:00+00:00,6
650,2013-02-06 00:00:00+00:00,5
651,2013-02-07 00:00:00+00:00,6
652,2013-02-08 00:00:00+00:00,3
653,2013-02-09 00:00:00+00:00,0
654,2013-02-10 00:00:00+00:00,1
655,2013-02-11 00:00:00+00:00,5
656,2013-02-12 00:00:00+00:00,6
657,2013-02-13 00:00:00+00:00,6
658,2013-02-14 00:00:00+00:00,2
659,2013-02-15 00:00:00+00:00,4
660,2013-02-16 00:00:00+00:00,2
661,2013-02-17 00:00:00+00:00,0
662,2013-02-18 00:00:00+00:00,1
663,2013-02-19 00:00:00+00:00,4
